name,slug,description,price,original_price,category_slug,is_new,is_on_offer,offer_percentage,in_stock,featured,image_file,alt_text,sizes,tags
Green Paisley Long-Sleeve Bodycon Dress,green-paisley-long-sleeve-bodycon-dress,"Make a statement in this vibrant green and turquoise paisley bodycon dress. Bold swirling patterns in green and purple create an eye-catching retro aesthetic. Long sleeves and a boat neckline keep it chic while the body-skimming fit adds modern edge.",750,0,dresses,true,false,0,true,true,dresses/green-paisley-bodycon-dress.jpg,Green Paisley Long-Sleeve Bodycon Dress - Front,"S,M,L","thrift,new-arrival,in-stock,party-wear,statement-piece"
Champagne Smocked Bodice Maxi Dress,champagne-smocked-bodice-maxi-dress,"Graceful champagne maxi dress with a stretchy smocked bodice and flowing layered skirt. Thin spaghetti straps create a delicate look while the floor-length silhouette adds drama. From sunset dinners to weddings this dress does it all beautifully.",850,0,dresses,true,false,0,true,true,dresses/champagne-smocked-maxi-dress.jpg,Champagne Smocked Bodice Maxi Dress - Front,"S,M,L,XL","thrift,new-arrival,in-stock,party-wear,best-seller"
Sage Green Button-Down Shirt Dress,sage-green-button-down-shirt-dress,"Classic and effortlessly cool sage green shirt dress with a pointed collar and button-through front. The three-quarter sleeves roll up for a relaxed vibe and the self-tie waist belt adds feminine polish. A versatile wardrobe essential from boardroom to brunch.",800,900,dresses,true,true,11,true,false,dresses/sage-button-shirt-dress.jpg,Sage Green Button-Down Shirt Dress - Front,"S,M,L,XL","thrift,new-arrival,in-stock,on-offer,casual,office-wear"
Black Double-Breasted Blazer Dress,black-double-breasted-blazer-dress,"Power dressing at its finest. This structured black blazer dress features a sharp notched lapel collar and polished gold double-breasted buttons. The short-sleeve design and tailored waist create a sleek boardroom-to-cocktails silhouette. Confidence never looked this good.",900,0,dresses,true,false,0,true,true,dresses/black-blazer-dress.jpg,Black Double-Breasted Blazer Dress - Front,"S,M,L,XL","thrift,new-arrival,in-stock,office-wear,statement-piece,best-seller"
Green Tropical Palm Leaf Maxi Dress,green-tropical-palm-leaf-maxi-dress,"Escape to paradise in this lush green tropical maxi dress. Bold palm leaf and banana leaf prints in vivid greens create an exotic resort feel. The halterneck ties at the nape while the full flowing skirt sweeps dramatically. Holiday dressing at its absolute best.",850,0,dresses,true,false,0,true,false,dresses/green-tropical-maxi-dress.jpg,Green Tropical Palm Leaf Maxi Dress - Front,"S,M,L","thrift,new-arrival,in-stock,casual,statement-piece"
White & Blue Floral Smocked Mini Dress,white-blue-floral-smocked-mini-dress,"Sweet and breezy white mini dress with tiny blue floral sprigs. The smocked elastic bodice provides a perfect fit while the tie-strap shoulders adjust for comfort. A relaxed A-line skirt falls above the knee for an easy-going feminine look.",650,800,dresses,true,true,19,true,false,dresses/white-blue-floral-smocked-dress.jpg,White & Blue Floral Smocked Mini Dress - Front,"S,M,L","thrift,new-arrival,in-stock,on-offer,casual"
Black Lace-Trim Asymmetric Mini Dress,black-lace-trim-asymmetric-mini-dress,"Daring and seductive black mini dress with intricate lace trim along the asymmetric hemline. Thin spaghetti straps and a fitted bodice hug the body while the lace overlay adds texture and drama. Your after-dark secret weapon.",700,0,dresses,true,false,0,true,true,dresses/black-lace-trim-mini-dress.jpg,Black Lace-Trim Asymmetric Mini Dress - Front,"S,M,L","thrift,new-arrival,in-stock,party-wear,date-night"
Brown Leopard Ombre Halter Midi Dress,brown-leopard-ombre-halter-midi-dress,"Wild and sophisticated. This halterneck midi dress features a gradient ombre effect that fades from rich chocolate brown into a bold leopard print. The crossover neckline and body-skimming jersey fabric create an effortlessly chic silhouette.",750,0,dresses,true,false,0,true,false,dresses/brown-leopard-halter-dress.jpg,Brown Leopard Ombre Halter Midi Dress - Front,"S,M,L","thrift,new-arrival,in-stock,party-wear,statement-piece"
Black Long-Sleeve Belted Maxi Dress,black-long-sleeve-belted-maxi-dress,"Timeless sophistication in this flowing black maxi dress with long sleeves and a relaxed scoop neckline. The braided tan belt cinches the waist beautifully while the floor-length skirt drapes elegantly. A wardrobe staple that works for literally any occasion.",800,0,dresses,true,false,0,true,false,dresses/black-long-sleeve-maxi-dress.jpg,Black Long-Sleeve Belted Maxi Dress - Front,"S,M,L,XL","thrift,new-arrival,in-stock,casual,office-wear"
Teal Abstract Print Sleeveless Midi Dress,teal-abstract-print-sleeveless-midi-dress,"Artistic and eye-catching teal midi dress with an abstract splatter print in turquoise black and white. The sleeveless design and scoop neckline keep it cool and contemporary. Cinch with the tan leather belt for a polished daytime look.",700,850,dresses,true,true,18,true,false,dresses/teal-abstract-belted-dress.jpg,Teal Abstract Print Sleeveless Midi Dress - Front,"S,M,L,XL","thrift,new-arrival,in-stock,on-offer,casual,vintage"
